"166","JL. Dr. SUTOMO","100","0","0","0","2250","K","LU","Tidak"
"167","JL. GONDOSULI","100","0","0","0","2050","K","LU","Tidak"
"168","JL. MH. THAMRIN","100","0","0","0","2250","K","LU","Tidak"
"169","JL. GATOT KOCO","100","0","0","0","2250","K","LU","Tidak"
"170","JL. KH. AKHMAD DAHLAN","100","0","0","0","4950","K","LU","Tidak"
"171","JL. ONTOREJO","100","0","0","0","2250","K","LU","Tidak"
"172","JL. JEND. BASUKI RAHMAD","50","50","0","0","5150","K","LU","Tidak"
"173","JL. LAWU","55.56","44.44","0","0","2050","K","LU","Tidak"
"174","JL. MADURA","100","0","0","0","2050","K","LU","Tidak"
"175","JL. BHAYANGKARA","100","0","0","0","2250","K","LU","Tidak"
"176","JL. SOEKARNO-HATTA","100","0","0","0","5150","P","LU","Tidak"
"177","JL. J.A. SUPRAPTO","100","0","0","0","5950","K","LU","Tidak"
"178","JL. SEKAR PUDAK","100","0","0","0","1950","K","LU","Tidak"
"179","JL. SEMERU","100","0","0","0","1950","K","LU","Tidak"
"180","JL. KUMBOKARNO","100","0","0","0","2250","K","LU","Tidak"
"181","JL. PACAR","66.67","33.33","0","0","2050","K","LU","Tidak"
"182","JL. JEND. URIP SUMOHARJO","100","0","0","0","5150","K","LU","Tidak"
"183","JL. TANGKUBAN PRAHU","100","0","0","0","1950","K","LU","Tidak"
"184","JL. KALIMANTAN","100","0","0","0","2050","K","LU","Tidak"
"185","JL. JEND. SUDIRMAN","100","0","0","0","6950","K","LU","Tidak"
"186","JL. SULTAN AGUNG","100","0","0","0","5150","K","LU","Tidak"
"187","JL. MERBABU","64.71","35.29","0","0","1950","K","LU","Tidak"
"188","JL. IMAM BONJOL","84.62","15.38","0","0","2050","K","LU","Tidak"
"189","JL. PRAMUKA","100","0","0","0","2050","K","LU","Tidak"
"190","JL. SUMBAWA","100","0","0","0","1950","K","LU","Tidak"
"191","JL. KI AGENG MIRAH","44.44","55.56","0","0","1950","K","LU","Tidak"
"192","JL. SUMATRA","100","0","0","0","1950","K","LU","Tidak"
"193","JL. JEND. A. YANI","81.25","18.75","0","0","4030","K","LU","Tidak"
"194","JL. IRAWAN","0","100","0","0","1950","K","LU","Tidak"
"195","JL. PRAHASTO","100","0","0","0","1950","K","LU","Tidak"
"196","JL. ALOON-ALOON UTARA","100","0","0","0","2550","K","LU","Tidak"
"197","JL. SEKAR PUTIH","88.24","11.76","0","0","1950","K","LU","Tidak"
"198","JL. KOKROSONO","0","100","0","0","1950","K","LU","Tidak"
"199","JL. ULER KAMBANG","0","100","0","0","1950","K","LU","Tidak"
"200","JL. SINOM PARIJOTO","0","100","0","0","1950","K","LU","Tidak"
"201","JL. SUBOKASTOWO","0","100","0","0","1950","K","LU","Tidak"
"202","JL. RAMA WIJAYA","0","100","0","0","1950","K","LU","Tidak"
"203","JL. ALOON-ALOON SELATAN","100","0","0","0","3450","K","LU","Tidak"
"204","JL. ASMORODONO","0","100","0","0","1950","K","LU","Tidak"
"205","JL. SEMBODRO","0","100","0","0","2000","K","LU","Tidak"
"206","JL. DIENG","100","0","0","0","1950","K","LU","Tidak"
